CTRL	2119880	060704780001000	RET	20211104120011	20211104120011	SSCOMMUNICATION	IN	UTF-8
HDR	20211104	2119880	T2
DTL	MGJ83HN/A	353034111729051									20211104
DTL	MJNP3HN/A	353490239233253									20211104
DTL	MGJ83HN/A	356753565005257									20211104
DTL	MJNP3HN/A	352377997614405									20211104
DTL	MLQ63HN/A	356646225646322									20211104
DTL	MGJ83HN/A	356753565071515									20211104
DTL	MGJE3HN/A	356753564987794									20211104
DTL	MJNP3HN/A	352377997859158									20211104
DTL	MJNP3HN/A	352377997027780									20211104
DTL	MGJE3HN/A	356753565599093									20211104
DTL	MGJ83HN/A	356753566851618									20211104
DTL	MJNP3HN/A	356122169622695									20211104
