CTRL	2119880	060704780001000	RET	20220112120001	20220112120001	SSCOMMUNICATION	IN	UTF-8
HDR	20220112	2119880	T2
DTL	MLLH3HN/A	359481983819441									20220112
DTL	MLLH3HN/A	359481981771768									20220112
DTL	MLLH3HN/A	359481982485590									20220112
DTL	MLLH3HN/A	359481981620213									20220112
DTL	MLLH3HN/A	359481982819178									20220112
DTL	MLLH3HN/A	359481982103706									20220112
DTL	MLLH3HN/A	359481984464833									20220112
DTL	MLLH3HN/A	359481983871509									20220112
DTL	MLLF3HN/A	354786250711880									20220112
DTL	MLLF3HN/A	353324659522665									20220112
DTL	MLK33HN/A	352922188887920									20220112
DTL	MLK33HN/A	352922188597933									20220112
DTL	MWLT2HN/A	352747612134809									20220112
