"862218046038936","85","85"
"352901872567477","266","266"
"358818746025249","333","333"
"868503050994692","91","91"
"358818744776330","994","994"
"355900705131748","8","8"
"352539314075020","995","995"
"355255116535692","1420","1420"
"867940056833196","62","62"
"12000","1592","1592"
"353156116003321","634","634"
"359458682857021","754","754"
"865830055354975","50","50"
"350958031671956","304","304"
"12000","1592","1592"
"861020051649610","128","128"
"359196192040684","1316","1316"
"350766960643296","1717","1717"
"863903056982557","128","128"
"355255116527285","1420","1420"
"355883614329746","665","665"
"350813668403555","296","296"
"355791102247983","632","632"
"356148116102697","1162","1162"
"358818746082745","333","333"
"357731104723654","521","521"
"868503059226294","1254","1254"
"869945057118172","670","670"
"865830055516698","51","51"
"860439052930152","100","100"
"356999250646695","444","444"
"869016057393213","217","217"
"356148115033380","981","981"
"356148115033380","981","981"
"356148115033380","981","981"
"356036831376391","298","298"
"868911053496179","1397","1397"
"866324047626475","87","87"
"866324047626475","87","87"
"012000BLB211924CBB","1592","1592"
"866450057908295","123","123"
"355688152481290","827","827"
"868222052299477","1330","1330"
"867048056400196","1319","1319"
"869945055034371","894","894"
"865752051905230","59","59"
"351743853813418","1361","1361"
"355579422891899","1612","1612"
"865322051516914","84","84"
"353078182348465","316","316"
"865322053718054","84","84"
"868503054080134","90","90"
"866450057839631","123","123"
"351743853322337","1361","1361"
"861050050188633","124","124"
"352918170109695","298","298"
"2009AJB154790F00647","1611","1611"
"864782047266216","723","723"
"01CFTV438201117666","1603","1603"
"865322053255933","84","84"
"355372116071576","265","265"
"352681233160770","8","8"
"353089180009645","1747","1747"
"353089180599850","1760","1760"
"012000BLAW4060CD39","1592","1592"
"861020051257034","128","128"
"868222053081155","1368","1368"
"013000BLBD6519E402","1593","1593"
"012000BLB210545E20","1592","1592"
"355604114201411","314","314"
"355604114981533","1296","1296"
"868448049059456","1067","1067"
"2007VIN000056A04518","1607","1607"
"353089180741361","1747","1747"
"864433051399556","46","46"
"868448049059456","1067","1067"
"864273050905619","895","895"
"869054055507294","1674","1674"
"860567058807873","63","63"
"358818746753600","333","333"
"350281374413161","1790","1790"
"355791101049687","632","632"
"353089180745586","1747","1747"
"351743853823789","1361","1361"
"R9WNA1552BJ","1692","1692"
"350766962631802","1715","1715"
"350018551339599","274","274"
"358818744769848","332","332"
"012000BLB211197479","1592","1592"
"355604115618134","1671","1671"
"863018051697892","1876","1876"
"863500053251471","1326","1326"
"350766960049577","1716","1716"
"359021827555338","1800","1800"
"359021827825863","1807","1807"
"865481059814794","1868","1868"
"866191055851836","1023","1023"
"357551212493754","829","829"
"350931190642381","1842","1842"
"864407059146250","1812","1812"
"01CFTV438201118969","1603","1603"
"351066259452940","1246","1246"
"358743618437944","1696","1696"
"355791102237943","632","632"
"860688053824034","565","565"
"358019544727074","1678","1678"
"353089181249935","1747","1747"
"352681238079967","9","9"
"865322057247019","85","85"
"861932055727111","1766","1766"
"01CHTV322210207034","1602","1602"
"350641033852663","1775","1775"
"352681238182019","9","9"
"353516161429491","317","317"
"863500057717113","1326","1326"
"354025413822155","305","305"
"358019545113522","1678","1678"
"869938056593248","1274","1274"
"357230223795974","986","986"
"1SZA5H0132INHA15FNGL","456","456"
"354505114557523","1111","1111"
"354025412963174","307","307"
"351657110038306","1829","1829"
"863519051123474","1890","1890"
"355791102202608","1673","632"
"868503059180053","1254","1254"
"862448057662874","1824","1824"
"351743855208591","1361","1361"
"351743854825759","1361","1361"
"355372116456306","262","262"
"359260572870589","1364","1364"
"353089183236963","1747","1747"
"861354059303890","1878","1878"
"354025413681551","305","305"
"350018553486299","274","274"
"359725107039546","242","242"
"868188058650379","1949","1949"
"869388055815772","1860","1860"
"01C7ITVFC300H04896","1620","1620"
"352221267230734","1718","1718"
"358019545190520","1683","1683"
"354505116201781","243","243"
"861504059845452","1168","1168"
"IN02CUTV558210101214","1831","1831"
"863376045668571","2045","2045"
"356090116763187","648","648"
"358019545190520","1683","1683"
"354025413822155","305","305"
"354025413822155","305","305"
"868390055233577","1322","1322"
"355403111490899","1870","636"
"352299335434827","1801","1801"
"356147311162050","1912","1912"
"354025413822155","305","305"
"354025413822155","305","305"
"865322052754019","85","85"
"864045052536257","1940","1940"
"354025413822155","305","305"
"356090113211347","648","648"
"350864486959781","8","8"
"863018051697892","1876","1876"
"01C7ITVFC300H04896","1620","1620"
"01C7ITVFC300H04896","1620","1620"
"861354058899278","1884","1884"
"352299335434827","1801","1801"
"355403111490899","1870","636"
"861932058548514","1766","1766"
"868330058240419","856","856"
"351743855203501","1361","1361"
"355791102151904","9","632"
"358818746121634","333","333"
"355608705402759","9","9"
"356090116069841","648","648"
"354505114268949","1111","1111"
"356167110723365","1083","1083"
"352221267230734","1718","1718"
"863782059889112","1767","1767"
"350931190163545","1843","1843"
"353853571856181","1284","1284"
"863996056128098","85","85"
"863996053788639","85","85"
"355690115826991","306","306"
"350018551201229","1413","1413"
"351601284351335","1246","1246"
"862026053078293","2008","2008"
"864721052391931","44","626"
"357081190847201","1618","1618"
"353855328888904","11","11"
"354025412889288","305","305"
"862044054275479","1756","1756"
"352681238014915","9","9"
"864653059839838","1830","1830"
"355791102202608","1673","632"
"861968052843816","1879","1879"
"353855328888904","11","11"
"353089117823365","440","440"
"863519054006338","1889","1889"
"355501974382655","1601","1601"
"355372117537641","1285","1285"
"861968056076017","1878","1878"
"911641300189726","2082","2082"
"863410052548135","2068","2068"
"350641035224291","1777","1777"
"864045054002498","1938","1938"
"864045054002498","1938","1938"
"864045054002498","1938","1938"
"356036834348892","298","298"
"862026051934711","1878","1878"
"352681238036322","9","9"
"356056196378188","521","521"
"865010041377253","2042","2042"
"861968059839890","1884","1884"
"355501973366246","345","1601"
"352399913593281","1713","1713"
"352724160344577","2040","2040"
"355608705402759","9","9"
"862026050598376","1884","1884"
