"831","LAVA Hero 600 Red","354776116194959","1","HUPARI","Mobiles","LAVA","800","665","900","New Godown"
"154","REALME C15 3GB 32GB Power Blue","860791043605677","1","SHIRALA","Mobiles","REALME","10500","9900","11999","New Godown"
"1531","MU LED TV (MU5000S) 50 Inch","S50UHD5000S20190200031","1","KANKAVALI 1","TV","MU","17999","17500","41990","New Godown"
"1125","I Ball Slide Skye 03 Tablet 1GB 8GB Graphite Black","911646950572840","1","GANDHINAGAR Warehouse","Mobiles","iBall","4699","4250","6999","New Godown"
"451","LAVA Magnum XL T101 N Tablet - - Silver","9115962517001780","1","LATUR 2","Mobiles","LAVA","12700","11500","15499","New Godown"
"1732","SAMSUNG Galaxy SM-R180 Ear Buds Live - SM-R180NZKAINU Mystic Black","RFAR12VX1YA","1","SATARA 1","Mobiles","SAMSUNG","10900","9800","15990","New Godown"
"1785","OPPO Enco W11 White","A6670254AAM416050","1","TASGAON 2","Accessories","OPPO","1599","1100","3999","New Godown"
"1830","VIVO X60 Pro Plus 12GB  256GB  Emperor Blue","864653059968751","1","KARAD 1","Mobiles","VIVO","69990","66400","74990","New Godown"
"1859","OPPO F19 6GB  128GB  Prism Black","860427051533614","1","GANDHINAGAR Warehouse","Mobiles","OPPO","19990","17400","20990","New Godown"
"1364","SAMSUNG M02s 3GB 32GB Blue","359260572882733","1","GANDHINAGAR Warehouse","Mobiles","SAMSUNG","9900","9290","11499","New Godown"
"1985","DIZO Star 300 Black","860052050256403","1","KOPARGAON","Mobiles","DIZO","1400","1240","1499","New Godown"
"1380","SAMSUNG Galaxy S21 Plus 5G 8GB 128GB Phantom Black","358107170386669","1","GANDHINAGAR Warehouse","Mobiles","SAMSUNG","73000","66800","100999","New Godown"
"1380","SAMSUNG Galaxy S21 Plus 5G 8GB 128GB Phantom Black","358107170383641","1","RAJARAMPURI 1","Mobiles","SAMSUNG","73000","66800","100999","New Godown"
"1380","SAMSUNG Galaxy S21 Plus 5G 8GB 128GB Phantom Black","358107170388749","1","GANDHINAGAR Warehouse","Mobiles","SAMSUNG","73000","66800","100999","New Godown"
"1380","SAMSUNG Galaxy S21 Plus 5G 8GB 128GB Phantom Black","358107170267752","1","GANDHINAGAR Warehouse","Mobiles","SAMSUNG","73000","66800","100999","New Godown"
"1380","SAMSUNG Galaxy S21 Plus 5G 8GB 128GB Phantom Black","358107170254842","1","GANDHINAGAR Warehouse","Mobiles","SAMSUNG","73000","66800","100999","New Godown"
"1380","SAMSUNG Galaxy S21 Plus 5G 8GB 128GB Phantom Black","358107170381819","1","GANDHINAGAR Warehouse","Mobiles","SAMSUNG","73000","66800","100999","New Godown"
"1381","SAMSUNG Galaxy S21 Plus 5G 8GB 128GB Phantom Silver","358107170202619","1","RAJARAMPURI 2","Mobiles","SAMSUNG","73000","66800","100999","New Godown"
"1380","SAMSUNG Galaxy S21 Plus 5G 8GB 128GB Phantom Black","358107170264080","1","MIRAJKAR TIKATI","Mobiles","SAMSUNG","73000","66800","100999","New Godown"
"1380","SAMSUNG Galaxy S21 Plus 5G 8GB 128GB Phantom Black","358107170290119","1","RAJARAMPURI 2","Mobiles","SAMSUNG","73000","66800","100999","New Godown"
"1380","SAMSUNG Galaxy S21 Plus 5G 8GB 128GB Phantom Black","358107170382130","1","BINDU CHOWK","Mobiles","SAMSUNG","73000","66800","100999","New Godown"
"1673","VIVO Y20G 4GB 64GB Purist Blue","860960052961731","1","GANDHINAGAR Warehouse","Mobiles","VIVO","13990","12750","16990","New Godown"
"1938","REALME X7 Max 5G 12GB  256GB  Asterold Black","864045054628151","1","GANDHINAGAR Warehouse","Mobiles","REALME","31000","29200","32999","New Godown"
"1399","VIVO Y20G 4GB 64GB Obsidian Black","860960050863079","1","GANDHINAGAR Warehouse","Mobiles","VIVO","13990","12750","16990","New Godown"
"829","LAVA Flip Blue","357551215400939","1","KAGAL","Mobiles","LAVA","1800","1600","2149","New Godown"
"1389","ITEL VISION 1 Pro 2GB 32GB Aurora Blue","350939750083300","1","GANDHINAGAR Warehouse","Mobiles","ITEL","7000","6180","7499","New Godown"
"1389","ITEL VISION 1 Pro 2GB 32GB Aurora Blue","350939750083383","1","RATNAGIRI 2","Mobiles","ITEL","7000","6180","7499","New Godown"
"1718","SAMSUNG A12 4GB 64GB Blue","351886694111946","1","KARAD 1","Mobiles","SAMSUNG","13200","12200","15999","New Godown"
