"SR2122/PANJ/0001","21-22/PANJ/00298","1678","358019545108498"
"SR2122/SOP1/0004","21-22/SOP1/01388","1618","356583700861870"
"SR2122/KAN1/0001","21-22/KAN1/00557","305","354025413672733"
"SR2122/KAGL/0002","202021KAGL04385","632","355791104050948"
"SR2122/SAT2/0005","21-22/SAT2/01044","2042","865010041378632"
"SR2122/SHAH/0028","21-22/SHAH/04305","490","355508117750029"
"SR2122/MIRT/0013","21-22/MIRT/02358","2141","356147311228257"
"SR2122/SAT3/0011","202021STR303127","648","356090116753881"
"SR2122/PETV/0002","202021PETV02984","632","355791104050922"
"SR2122/TULP/0002","21-22/TULP/00686","10","352747613629641"
"SR2122/ICH3/0006","21-22/ICH3/00740","1756","862044056934818"
"SR2122/VIT2/0002","21-22/VIT2/00325","1696","356560542186088"
"SR2122/AKLJ/0005","21-22/AKLJ/00157","9","353974643844730"
"SR2122/VIRW/0003","21-22/VIRW/00623","1772","350641036849310"
"SR2122/PETV/0003","21-22/PETV/01484","442","356999255203740"
"SR2122/TULP/0003","21-22/TULP/00431","1601","355501978023933"
"SR2122/KAGL/0003","21-22/KAGL/00572","1898","869141052225192"
"SR2122/SOP2/0009","202021SOL204351","759","35387286391960"
"SR2122/MIRT/0014","21-22/MIRT/02686","217","868384053371059"
"SR2122/MUDT/0005","21-22/MUDT/01129","1603","01CFTV436210404673"
"SR2122/KAGL/0004","202021KAGL03588","1603","01CFTV438210700310"
"SR2122/KAGL/0005","20-21/KAGL/05483","443","356999255178546"
"SR2122/SAN1/0018","21-22/SAN1/05642","2076","358743614588229"
"SR2122/BGCK/0002","21-22/BGCK/00217","433","359064204824968"
"SR2122/PETV/0005","DC21-22/PETV/1626","1741","35908110144849"
"SR2122/SAN3/0004","21-22/SAN3/01304","11","358989494335831"
"SR2122/CHI1/0005","21-22/CHI1/00173","523","355910320213946"
"SR2122/KUDL/0006","20-21/KUDL/05905","953","356937113327780"
"SR2122/RAT3/0005","21-22/RAT3/00012","953","356937113329679"
"SR2122/KAN2/0003","21-22/KAN2/01029","1306","359589938262424"
"SR2122/KAN2/0004","202021KAN201719","1603","01CFTV438210700245"
"SR2122/SHAH/0031","21-22/SHAH/01418","954","356937113329042"
"SR2122/SAT1/0010","21-22/SAT1/01910","856","867912056131038"
"SR2122/CHI1/0006","20-21/CHI1/05752","954","356937113329661"
"SR2122/SRGT/0008","20-21/SRGT/01552","638","352187757946594"
"SR2122/KAN1/0003","202021KANK03296","1603","01CFTV438210700464"
"SR2122/SOP4/0006","21-22/SOP4/01681","1713","352399918654245"
"SR2122/KAN2/0005","21-22/KAN2/00646","1592","012000BM4V08326573"
"SR2122/MIRT/0017","21-22/MIRT/03075","753","355708330020271"
"SR2122/NAG3/0002","202021NAG304518","14","352823113809270"
"SR2122/KRD3/0004","202021KRD300785","1603","01CFTV436210204581"
"SR2122/RAT1/0003","202021RAT103360","1603","01CFTV438210700459"
"SR2122/PIMP/0009","21-22/PIMP/00364","1735","353190581416825"
"SR2122/BARS/0002","21-22/BARS/00110","11","35777177846874"
"SR2122/KORE/0003","21-22/KORE/00929","1909","862788058797678"
"SR2122/SAWT/0006","202021SAWT02147","1603","01CFTV438201106027"
"SR2122/ICH1/0002","202021ICH103009","1603","01CFTV436210205791"
"SR2122/ICH1/0003","202021ICH102612","1603","01CFTV433201101627"
"SR2122/CHI2/0012","21-22/CHI2/00183","953","356937113327624"
"SR2122/SOP3/0003","202021SOL302466","1601","355501978023875"
"SR2122/CHI3/0002","202021CHI302505","1603","01CFTV436210404733"
"SR2122/RAT1/0004","202021RAT102289","1603","01CFTV433210703110"
"SR2122/RAT1/0005","202021RAT102290","1603","01CFTV438210700473"
"SR2122/CHI2/0013","202021CHI204190","1603","01cftv436210401486"
"SR2122/CHI3/0003","21-22/CHI3/00554","435","358932630088344"
"SR2122/SAT1/0012","202021SAT104547","953","356937112343903"
"SR2122/RAT2/0019","202021RAT206526","1603","01CFTV438201121097"
"SR2122/SAN3/0006","21-22/SAN3/01386","1627","201120612001000327"
"SR2122/MRJ2/0006","202021MRJ202332","1603","01CFTV438210700303"
"SR2122/KUDL/0009","20-21/KUDL/06035","954","356937110950271"
"SR2122/MUDT/0006","21-22/MUDT/00859","1801","353422930183000"
"SR2122/CHI2/0014","21-22/CHI2/02841","2318","352701950510385"
"SR2122/ICH3/0008","202021ICH302012","1603","01CFTV438201114375"
"SR2122/ICH2/0004","21-22/ICH2/00595","1603","01CFTV436210401449"
"SR2122/WAI1/0007","21-22/WAI1/00622","1602","01CHTV322210613996"
"SR2122/PNDA/0002","21-22/PNDA/01166","2103","353972544550349"
"SR2122/CHI1/0010","21-22/CHI1/02135","1718","351886696620290"
"SR2122/CHI2/0016","202021CHI204881","953","356937112341253"
"SR2122/SAN1/0029","202021SAN111528","1603","01CFTV438210700297"
"SR2122/CHI2/0017","202021CHI204136","1603","01cftv438201114362"
"SR2122/KAN2/0006","20-21/KAN2/02399","954","356937110804963"
"SR2122/MIRT/0020","202021MIRT02688","1603","01CFTV438201118350"
"SR2122/AKLJ/0008","21-22/AKLJ/01942","2141","356147311226392"
"SR2122/RAT2/0021","202021RAT207062","626","864721050569017"
"SR2122/KUDL/0010","DC21-22/KUDL/0509","1741","358672446620381"
"SR2122/RAT1/0006","202021RAT102228","1603","01CFTV436200715487"
"SR2122/RAT1/0007","202021RAT103463","1603","01CFTV436200715486"
"SR2122/RAT1/0008","202021RAT102395","1602","01CHTV322210208423"
"SR2122/ISL3/0020","21-22/ISL3/02789","2393","358205231190300"
"SR2122/RAT2/0023","21-22/RAT2/04125","2217","355742231361989"
"SR2122/SANG/0004","21-22/SANG/02608","1603","01CFTV436210404637"
"SR2122/KUDL/0011","202021KUDL05230","8","3510824654486143"
"SR2122/KAR4/0002","202021KAR202139","1603","01CFTV436210404640"
"SR2122/KAN2/0008","21-22/KAN2/00050","1603","01CFTV436210401456"
"SR2122/MIRT/0023","21-22/MIRT/04101","755","353036111771819"
"SR2122/CHI2/0019","20-21/CHI2/07151","9","354396708228626"
"SR2122/BARS/0003","202021BARS01336","1603","01CFTV436210204561"
"SR2122/SOP2/0015","21-22/SOP2/04950","755","353037112207969"
"SR2122/ICH1/0006","202021ICH103352","1603","01CFTV436210203743"
"SR2122/MUDT/0008","202021MUDL01806","1603","01CFTV436210401452"
"SR2122/CHI2/0020","21-22/CHI2/02348","2145","357246551921594"
"SR2122/CHI2/0021","21-22/CHI2/01198","1389","359196197146346"
"SR2122/RAT1/0010","202021RAT102122","1603","01CFTV436210205952"
"SR2122/MUDT/0009","21-22/MUDT/02134","1855","351372347592063"
"SR2122/CHI2/0022","21-22/CHI2/03303","2007","862961051138964"
"SR2122/PHL1/0011","202021PLT103359","1602","01CHTV322210605824"
"SR2122/KORE/0006","21-22/KORE/01150","2040","352724163781833"
"SR2122/SOP1/0010","202021SOL100917","2463","2101AJB160805F01277"
"SR2122/KHED/0005","DC21-22/KHED/0919","1741","358672446633210"
"SR2122/ISL2/0003","202021ISL202207","1603","01CFTV438210700300"
"SR2122/CHI3/0005","202021CHI303161","1603","01CFTV436210205800"
"SR2122/CHI3/0006","202021CHI302230","1603","01CFTV438201105483"
"SR2122/KAR1/0007","202021KAR103615","1603","01CFTV436210913521"
"SR2122/CHI3/0007","202021CHI301815","1603","01CFTV436210404198"
"SR2122/CHI1/0016","202021CHI102353","1603","01cftv436210912811"
"SR2122/RAT3/0009","21-22/RAT3/00792","1603","01CFTV438201114374"
"SR2122/RAT3/0010","202021RAT302608","1603","01CFTV436210913234"
"SR2122/JAYS/0017","202021JAYS03096","1603","01CFTV436210203465"
"SR2122/JAYS/0018","202021JAYS03660","1603","01CFTV438201114371"
"SR2122/NAS2/0006","202021NAS200398","1603","01CFTV436210913374"
"SR2122/SAN1/0034","202021SAN111784","1603","01CFTV436210913533"
"SR2122/MUDT/0010","202021MUDL02039","1603","01CFTV438201118315"
"SR2122/RAT1/0011","20-21/RAT1/03733","1603","01CFTV436210913231"
"SR2122/NAG1/0003","21-22/NAG1/00008","1290","356934112061460"
"SR2122/SONG/0021","21-22/SONG/01687","2081","868821054210216"
"SR2122/SAWT/0009","21-22/SAWT/00771","181","355844098945988"
"SR2122/RAT2/0026","202021RAT205500","1603","01CFTV436210913220"
"SR2122/SHAH/0061","202021SHAH15875","1603","01CFTV436210913470"
