"Branch","Category","Brand","Product","IMEI/SRNO","Qty","Sender Branch","Status","Variant id"
"AKLUJ","Mobiles","LAVA","LAVA A5 Blue / Silver","'351403691529599","1","","In Branch","639"
"AKLUJ","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790359394","1","","In Branch","482"
"AKLUJ","Mobiles","NOKIA","NOKIA 110 DS Black","'353156111937671","1","","In Branch","634"
"AKLUJ","Mobiles","VIVO","Vivo V20 Pro 8GB 128GB Sunset Melody","'860688059905696","1","","In Branch","45"
"AKLUJ","Mobiles","VIVO","Vivo V20 SE 8GB 128GB Gravity Black","'864433058108471","1","","In Branch","46"
"AKLUJ","Mobiles","VIVO","Vivo Y11 3GB 32GB Agate Red","'869473048914252","1","","In Branch","50"
"AKLUJ","Mobiles","VIVO","Vivo Y20 4GB 64GB Obsidian Black","'860430055525693","1","","In Branch","58"
"AKLUJ","Mobiles","VIVO","Vivo Y51 8GB 128GB Titanium Sapphire","'860567054121014","1","","In Branch","63"
"AKLUJ","Mobiles","VIVO","VIVO V20 8GB 128GB Midnight Jazz","'869329059764657","1","","In Branch","566"
"AKLUJ","Mobiles","SAMSUNG","SAMSUNG Galaxy A21s 4GB 64GB Black","'355368110223650","1","","In Branch","261"
"AKLUJ","Mobiles","SAMSUNG","SAMSUNG Galaxy A31 6GB 128GB Prism Crush Blue","'355390111443483","1","","In Branch","1413"
"AKLUJ","Mobiles","SAMSUNG","SAMSUNG Galaxy A51 6GB 128GB Prism Crush Blue","'354464117734806","1","","In Branch","1420"
"AKLUJ","Mobiles","SAMSUNG","SAMSUNG Galaxy A71 8GB 128GB Prism Crush Black","'353412112512843","1","","In Branch","1423"
"AKLUJ","Mobiles","SAMSUNG","SAMSUNG Galaxy M01 Core 2GB 32GB Blue","'356036831847326","1","","In Branch","300"
"AKLUJ","Mobiles","SAMSUNG","SAMSUNG Galaxy M11 4GB 64GB Violet","'355692113563840","1","","In Branch","308"
"AKLUJ","Mobiles","SAMSUNG","SAMSUNG Note 10 Lite 8GB 128GB Aura Glow","'354566560011357","1","","In Branch","321"
"AKLUJ","Mobiles","SAMSUNG","SAMSUNG Galaxy Note 20 8GB 256GB Mystic Blue (Diwali Edition)","'356214463435161","1","","In Branch","1429"
